"Name","Provider","Query","Window","Suggested Target Input","Suggested Category","Suggested Views","Enabled"
"GitHub OSINT topic","GitHub","topic:osint","created","","Investigation","","true"
"GitHub open source intelligence topic","GitHub","topic:open-source-intelligence","created","","Investigation","","true"
"GitHub SOCMINT topic","GitHub","topic:socmint","created","Username","Social Media","","true"
"GitHub GEOINT topic","GitHub","topic:geoint","created","Location","Geolocation","","true"
"GitHub threat intelligence topic","GitHub","topic:threat-intelligence osint","created","Domain; IP Address; URL; File Hash","Threat Intelligence","","true"
"GitHub username OSINT","GitHub","username osint in:name,description,readme","created","Username","Social Media","","true"
"GitHub email OSINT","GitHub","email osint in:name,description,readme","created","Email","Identity","","true"
"GitHub phone OSINT","GitHub","phone osint in:name,description,readme","created","Phone Number","Identity","","true"
"GitHub domain OSINT","GitHub","domain osint in:name,description,readme","created","Domain","Infrastructure","","true"
"GitHub IP OSINT","GitHub","IP OSINT in:name,description,readme","created","IP Address","Infrastructure","","true"
"GitHub image OSINT","GitHub","image osint in:name,description,readme","created","Image","Media","","true"
"GitHub geolocation OSINT","GitHub","geolocation osint in:name,description,readme","created","Location","Geolocation","","true"
"GitHub cryptocurrency OSINT","GitHub","crypto osint in:name,description,readme","created","Crypto Address","Cryptocurrency","","true"
"GitHub Telegram OSINT","GitHub","telegram osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub Instagram OSINT","GitHub","instagram osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub Reddit OSINT","GitHub","reddit osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub LinkedIn OSINT","GitHub","linkedin osint in:name,description,readme","created","Name; Organization Name; URL","Social Media","","true"
"GitHub X OSINT","GitHub","twitter osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub TikTok OSINT","GitHub","tiktok osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub GitHub OSINT","GitHub","github osint in:name,description,readme","created","Repository URL","Code Repositories","","true"
"GitHub Discord OSINT","GitHub","discord osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub Dark Web OSINT","GitHub","dark web osint in:name,description,readme","created","Onion Service","Dark Web","","true"
"GitHub Tor search and crawl","GitHub","tor onion search crawler osint in:name,description,readme","created","Onion Service","Dark Web","","true"
"GitHub OSINT MCP","GitHub","osint mcp in:name,description,readme","created","","Investigation","AGENTIC.md","true"
"GitHub recon MCP","GitHub","recon mcp in:name,description,readme","created","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"GitHub OSINT skill","GitHub","osint skill in:name,description,readme","created","","Investigation","AGENTIC.md","true"
"GitHub research skill","GitHub","research skill in:name,description,readme","created","URL","Web","AGENTIC.md","true"
"GitHub active OSINT backfill","GitHub","osint in:name,description,readme","pushed","","Investigation","EMERGING.md","true"
"GitHub public records OSINT","GitHub","public records search osint in:name,description,readme","created","Name; Organization Name","Documents & Records","","true"
"GitHub corporate registry OSINT","GitHub","company registry corporate records osint in:name,description,readme","created","Organization Name","Documents & Records","","true"
"GitHub document metadata harvesting","GitHub","document metadata harvesting osint in:name,description,readme","created","Document; File","Documents & Records","","true"
"GitHub breach and leak search","GitHub","data breach leak search osint in:name,description,readme","created","Email; Username","Identity","","true"
"GitHub face recognition OSINT","GitHub","face recognition search osint in:name,description,readme","created","Image","Media","","true"
"GitHub video OSINT","GitHub","video analysis osint investigation in:name,description,readme","created","Video","Media","","true"
"GitHub audio and speech OSINT","GitHub","audio speech transcription osint in:name,description,readme","created","Audio","Media","","true"
"GitHub subdomain enumeration","GitHub","subdomain enumeration reconnaissance in:name,description,readme","created","Domain","Infrastructure","","true"
"GitHub certificate transparency","GitHub","certificate transparency subdomain search in:name,description,readme","created","Domain","Infrastructure","","true"
"GitHub web archive OSINT","GitHub","wayback machine archive osint in:name,description,readme","created","Domain; URL","Web","","true"
"GitHub search engine dorking","GitHub","google dork search automation osint in:name,description,readme","created","Keyword","Web","","true"
"GitHub satellite imagery OSINT","GitHub","satellite imagery osint analysis in:name,description,readme","created","Coordinates; Location","Geolocation","","true"
"GitHub flight and ADS-B tracking","GitHub","adsb mode s aircraft tracking in:name,description,readme","created","Aircraft ID","Geolocation","","true"
"GitHub wireless network mapping","GitHub","wardriving wifi bssid mapping in:name,description,readme","created","BSSID / SSID","Geolocation","","true"
"GitHub blockchain investigation","GitHub","blockchain investigation tracing wallet in:name,description,readme","created","Crypto Address","Cryptocurrency","","true"
"GitHub CVE and vulnerability intelligence","GitHub","cve vulnerability intelligence feed in:name,description,readme","created","CVE ID","Threat Intelligence","","true"
"GitHub repository secret leaks","GitHub","leaked secrets repository scanning osint in:name,description,readme","created","Username; Repository URL","Code Repositories","","true"
"GitHub OSINT tools topic","GitHub","topic:osint-tools","created","","Investigation","","true"
"GitHub information gathering topic","GitHub","topic:information-gathering","created","","Investigation","","true"
"GitHub digital forensics topic","GitHub","topic:digital-forensics","created","File; Document","Investigation","","true"
"GitHub Claude skill OSINT topic","GitHub","topic:claude-skill osint","created","","Investigation","AGENTIC.md","true"
"GitHub geospatial MCP","GitHub","geospatial mcp server in:name,description,readme","created","Coordinates; Location","Geolocation","AGENTIC.md","true"
"Cyber Detective Telegram","Telegram Channel","https://t.me/s/cybdetective","updated","","Investigation","","true"
"GitLab OSINT","GitLab","osint","created","","Investigation","EMERGING.md","true"
"GitLab reconnaissance","GitLab","reconnaissance","created","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"GitLab threat intelligence","GitLab","threat intelligence","created","Domain; IP Address; URL; File Hash","Threat Intelligence","EMERGING.md","true"
"GitLab geospatial intelligence","GitLab","geospatial intelligence","created","Coordinates; Location","Geolocation","EMERGING.md","true"
"Codeberg OSINT","Codeberg","osint","created","","Investigation","EMERGING.md","true"
"Codeberg reconnaissance","Codeberg","recon","created","Domain; IP Address","Infrastructure","EMERGING.md","true"
"MCP Registry OSINT","MCP Registry","osint","updated","","Investigation","AGENTIC.md","true"
"MCP Registry reconnaissance","MCP Registry","recon","updated","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"MCP Registry research","MCP Registry","research","updated","URL","Web","AGENTIC.md","true"
"MCP Registry threat intelligence","MCP Registry","threat intelligence","updated","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"MCP Registry geospatial","MCP Registry","geospatial","updated","Coordinates; Location","Geolocation","AGENTIC.md","true"
