"Name","Provider","Query","Window","Suggested Target Input","Suggested Category","Suggested Views","Enabled"
"GitHub OSINT topic","GitHub","topic:osint","created","","Investigation","","true"
"GitHub open source intelligence topic","GitHub","topic:open-source-intelligence","created","","Investigation","","true"
"GitHub SOCMINT topic","GitHub","topic:socmint","created","Username","Social Media","","true"
"GitHub GEOINT topic","GitHub","topic:geoint","created","Location","Geolocation","","true"
"GitHub threat intelligence topic","GitHub","topic:threat-intelligence osint","created","Domain; IP Address; URL; File Hash","Threat Intelligence","","true"
"GitHub username OSINT","GitHub","username osint in:name,description,readme","created","Username","Social Media","","true"
"GitHub email OSINT","GitHub","email osint in:name,description,readme","created","Email","Identity","","true"
"GitHub phone OSINT","GitHub","phone osint in:name,description,readme","created","Phone Number","Identity","","true"
"GitHub domain OSINT","GitHub","domain osint in:name,description,readme","created","Domain","Infrastructure","","true"
"GitHub IP OSINT","GitHub","IP OSINT in:name,description,readme","created","IP Address","Infrastructure","","true"
"GitHub image OSINT","GitHub","image osint in:name,description,readme","created","Image","Media","","true"
"GitHub geolocation OSINT","GitHub","geolocation osint in:name,description,readme","created","Location","Geolocation","","true"
"GitHub cryptocurrency OSINT","GitHub","crypto osint in:name,description,readme","created","Crypto Address","Cryptocurrency","","true"
"GitHub Telegram OSINT","GitHub","telegram osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub Instagram OSINT","GitHub","instagram osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub Reddit OSINT","GitHub","reddit osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub LinkedIn OSINT","GitHub","linkedin osint in:name,description,readme","created","Name; Organization Name; URL","Social Media","","true"
"GitHub X OSINT","GitHub","twitter osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub TikTok OSINT","GitHub","tiktok osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub GitHub OSINT","GitHub","github osint in:name,description,readme","created","Repository URL","Code Repositories","","true"
"GitHub Discord OSINT","GitHub","discord osint in:name,description,readme","created","Username; URL","Social Media","","true"
"GitHub Dark Web OSINT","GitHub","dark web osint in:name,description,readme","created","Onion Service","Dark Web","","true"
"GitHub Tor search and crawl","GitHub","tor onion search crawler osint in:name,description,readme","created","Onion Service","Dark Web","","true"
"GitHub OSINT MCP","GitHub","osint mcp in:name,description,readme","created","","Investigation","AGENTIC.md","true"
"GitHub recon MCP","GitHub","recon mcp in:name,description,readme","created","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"GitHub OSINT skill","GitHub","osint skill in:name,description,readme","created","","Investigation","AGENTIC.md","true"
"GitHub research skill","GitHub","research skill in:name,description,readme","created","URL","Web","AGENTIC.md","true"
"GitHub active OSINT backfill","GitHub","osint in:name,description,readme","pushed","","Investigation","EMERGING.md","true"
"Cyber Detective Telegram","Telegram Channel","https://t.me/s/cybdetective","updated","","Investigation","","true"
"GitLab OSINT","GitLab","osint","created","","Investigation","EMERGING.md","true"
"GitLab reconnaissance","GitLab","reconnaissance","created","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"Codeberg OSINT","Codeberg","osint","created","","Investigation","EMERGING.md","true"
"MCP Registry OSINT","MCP Registry","osint","updated","","Investigation","AGENTIC.md","true"
"MCP Registry reconnaissance","MCP Registry","recon","updated","Domain; IP Address; URL; File Hash","Threat Intelligence","AGENTIC.md","true"
"MCP Registry research","MCP Registry","research","updated","URL","Web","AGENTIC.md","true"
